theta_accept,theta_reject,gamma,utility,mean_mcc,mean_accuracy,mean_nodes,mean_depth,mean_cr,stump_count,mean_train_ms
0.4,0.07,0.3,-0.41177050270512383,0.15691731700575184,0.5623845029239767,2.1,1.55,0.05656090144562167,2,11500.30208826065
0.2,0.05,0.5,-0.41177050270512383,0.15691731700575184,0.5623845029239767,2.1,1.55,0.05656090144562167,2,11383.045732975006
0.2,0.07,0.3,-0.41177050270512383,0.15691731700575184,0.5623845029239767,2.1,1.55,0.05656090144562167,2,11508.552730083466
0.25,0.07,0.4,-0.41177050270512383,0.15691731700575184,0.5623845029239767,2.1,1.55,0.05656090144562167,2,10686.882042884827
0.25,0.07,0.3,-0.41177050270512383,0.15691731700575184,0.5623845029239767,2.1,1.55,0.05656090144562167,2,10649.253046512604
0.2,0.12,0.15,-0.41177050270512383,0.15691731700575184,0.5623845029239767,2.1,1.55,0.05656090144562167,2,11103.614163398743
0.2,0.1,0.2,-0.41177050270512383,0.15691731700575184,0.5623845029239767,2.1,1.55,0.05656090144562167,2,11178.972220420837
0.2,0.07,0.4,-0.41177050270512383,0.15691731700575184,0.5623845029239767,2.1,1.55,0.05656090144562167,2,11651.986801624298
0.2,0.05,0.4,-0.41177050270512383,0.15691731700575184,0.5623845029239767,2.1,1.55,0.05656090144562167,2,11281.304669380188
0.25,0.1,0.2,-0.41177050270512383,0.15691731700575184,0.5623845029239767,2.1,1.55,0.05656090144562167,2,10559.837543964386
0.25,0.12,0.15,-0.41177050270512383,0.15691731700575184,0.5623845029239767,2.1,1.55,0.05656090144562167,2,10317.061603069305
0.35,0.12,0.15,-0.41177050270512383,0.15691731700575184,0.5623845029239767,2.1,1.55,0.05656090144562167,2,10999.396896362305
0.4,0.12,0.15,-0.41177050270512383,0.15691731700575184,0.5623845029239767,2.1,1.55,0.05656090144562167,2,10461.154592037201
0.35,0.07,0.3,-0.41177050270512383,0.15691731700575184,0.5623845029239767,2.1,1.55,0.05656090144562167,2,10854.711711406708
0.35,0.05,0.5,-0.41177050270512383,0.15691731700575184,0.5623845029239767,2.1,1.55,0.05656090144562167,2,11121.708726882935
0.4,0.1,0.2,-0.41177050270512383,0.15691731700575184,0.5623845029239767,2.1,1.55,0.05656090144562167,2,10399.61405992508
0.4,0.07,0.4,-0.41177050270512383,0.15691731700575184,0.5623845029239767,2.1,1.55,0.05656090144562167,2,11001.762223243713
0.4,0.05,0.4,-0.41177050270512383,0.15691731700575184,0.5623845029239767,2.1,1.55,0.05656090144562167,2,11638.577163219452
0.4,0.05,0.5,-0.41177050270512383,0.15691731700575184,0.5623845029239767,2.1,1.55,0.05656090144562167,2,11813.139879703522
0.35,0.1,0.2,-0.41177050270512383,0.15691731700575184,0.5623845029239767,2.1,1.55,0.05656090144562167,2,11774.748754501343
0.35,0.07,0.4,-0.41177050270512383,0.15691731700575184,0.5623845029239767,2.1,1.55,0.05656090144562167,2,10807.789242267609
0.3,0.12,0.15,-0.41177050270512383,0.15691731700575184,0.5623845029239767,2.1,1.55,0.05656090144562167,2,10865.528404712677
0.3,0.05,0.4,-0.41177050270512383,0.15691731700575184,0.5623845029239767,2.1,1.55,0.05656090144562167,2,10431.028831005096
0.3,0.07,0.4,-0.41177050270512383,0.15691731700575184,0.5623845029239767,2.1,1.55,0.05656090144562167,2,10286.842048168182
0.3,0.1,0.2,-0.41177050270512383,0.15691731700575184,0.5623845029239767,2.1,1.55,0.05656090144562167,2,10292.178905010223
0.3,0.05,0.5,-0.41177050270512383,0.15691731700575184,0.5623845029239767,2.1,1.55,0.05656090144562167,2,10574.108684062958
0.35,0.05,0.4,-0.41177050270512383,0.15691731700575184,0.5623845029239767,2.1,1.55,0.05656090144562167,2,11187.475907802582
