mode,accuracy,balanced_accuracy,f1_macro,mcc,roc_auc,pr_auc,avg_ns,avg_ts,nodes,leaves,depth,train_ms,infer_ms,dataset,fold,theta_accept,theta_reject,gamma
metacog,0.9298245614035088,0.9146825396825397,0.922972972972973,0.8486684247915055,0.9034391534391535,0.9130116959064327,0.2784189762127132,0.9902492992693803,5,3,3,60480.517864227295,1.4710426330566406,breast_cancer,2,0.15,0.01,0.2
metacog,0.8421052631578947,0.7956349206349207,0.8144665461121157,0.662595343916706,0.7982804232804233,0.8102115937789479,0.4125268785528514,0.9654808723040684,5,3,3,59365.556478500366,3.2303333282470703,breast_cancer,3,0.15,0.01,0.2
metacog,0.9298245614035088,0.9047619047619048,0.9210526315789473,0.8535639569308375,0.9047619047619048,0.9,0.32420614859132296,0.9799090550488756,5,3,3,60481.098651885986,1.76239013671875,breast_cancer,4,0.15,0.01,0.2
metacog,0.805,0.5760869565217391,0.5758795062802458,0.34845909958918564,0.8530491247882552,0.5659558744201101,0.27640418328551447,0.7779513614860638,11,6,5,18528.968811035156,7.539510726928711,adult,0,0.15,0.01,0.2
metacog,0.805,0.5913325804630153,0.6010434248887525,0.3371846188159856,0.7637634105025409,0.46100790513833995,0.4402523890379214,0.8766580354991211,7,4,4,15669.638872146606,6.3457489013671875,adult,1,0.15,0.01,0.2
metacog,0.8,0.5652173913043478,0.5579133510167993,0.32177789389368455,0.7644692264257482,0.47446754883427855,0.2522914703619224,0.9079405356615389,11,6,5,18280.898332595825,6.323575973510742,adult,2,0.15,0.01,0.2
metacog,0.805,0.5760869565217391,0.5758795062802458,0.34845909958918564,0.7727978543195934,0.4844409937888199,0.2684270624371677,0.8229594286826631,7,4,4,15648.204565048218,9.810209274291992,adult,3,0.15,0.01,0.2
metacog,0.795,0.5543478260869565,0.5392999606719479,0.29298753307495307,0.8045595708639187,0.49675191815856773,0.29144482238658037,0.9737562562239062,5,3,3,10580.246210098267,5.057811737060547,adult,4,0.15,0.01,0.2
metacog,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.5,,1.0,0.9973710865078222,1,1,1,240.30494689941406,0.36835670471191406,iris,0,0.15,0.01,0.3
metacog,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.5,,1.0,0.9970757773947009,1,1,1,255.1429271697998,0.3604888916015625,iris,1,0.15,0.01,0.3
metacog,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.5,,1.0,0.9977269338811082,1,1,1,246.46472930908203,0.6895065307617188,iris,2,0.15,0.01,0.3
metacog,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.5,,1.0,0.9961780853484691,1,1,1,273.2415199279785,0.5345344543457031,iris,3,0.15,0.01,0.3
metacog,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.5,,0.8413882683090157,0.9971051500737994,1,1,1,260.1797580718994,0.35190582275390625,iris,4,0.15,0.01,0.3
metacog,1.0,1.0,1.0,1.0,1.0,,0.2850215115593363,0.9703851012969208,7,4,3,5877.777576446533,0.5769729614257812,wine,0,0.15,0.01,0.3
metacog,0.9444444444444444,0.9523809523809524,0.9440559440559441,0.9209401941068135,0.9810855810855811,,0.09676720274524803,0.992956148927088,9,5,5,6894.478559494019,0.5979537963867188,wine,1,0.15,0.01,0.3
metacog,0.6111111111111112,0.6,0.5185185185185185,0.5167423893288018,0.7494949494949495,,0.3774030947679678,0.9761711209664234,5,3,3,3919.6271896362305,0.5300045013427734,wine,2,0.15,0.01,0.3
metacog,0.6666666666666666,0.6666666666666666,0.5666666666666667,0.5995445191824106,0.8387445887445887,,0.28708262043670824,0.9870125191045439,5,3,3,3926.942825317383,0.5450248718261719,wine,3,0.15,0.01,0.3
metacog,0.8888888888888888,0.9047619047619048,0.8885003885003885,0.8457943925233645,0.9235070485070486,,0.24828160209775718,0.9703026118717079,7,4,3,5334.611892700195,0.5619525909423828,wine,4,0.15,0.01,0.3
metacog,0.9473684210526315,0.9487012987012987,0.9449275362318841,0.8904905361044291,0.9512987012987013,0.9514896867838044,0.2128605955282232,0.9904241124341877,5,3,3,53020.289182662964,2.58636474609375,breast_cancer,0,0.15,0.01,0.3
metacog,0.9649122807017544,0.9545454545454546,0.9623015873015872,0.9273353546322172,0.9318181818181818,0.9459459459459459,0.2972640601417964,0.9858737888548949,7,4,3,53129.3203830719,1.5904903411865234,breast_cancer,1,0.15,0.01,0.3
metacog,0.9298245614035088,0.9146825396825397,0.922972972972973,0.8486684247915055,0.9034391534391535,0.9130116959064327,0.2784189762127132,0.9902492992693803,5,3,3,52377.551555633545,1.6603469848632812,breast_cancer,2,0.15,0.01,0.3
metacog,0.8421052631578947,0.7956349206349207,0.8144665461121157,0.662595343916706,0.7982804232804233,0.8102115937789479,0.4125268785528514,0.9654808723040684,5,3,3,52030.86066246033,1.5828609466552734,breast_cancer,3,0.15,0.01,0.3
