mode,accuracy,balanced_accuracy,f1_macro,mcc,roc_auc,pr_auc,avg_ns,avg_ts,nodes,leaves,depth,train_ms,infer_ms,dataset,fold
metacog,0.795,0.5543478260869565,0.5392999606719479,0.292987533074953,0.5543478260869565,0.313695652173913,0.5123123594125598,1.0,3,2,2,166350.30341148376,9.668827056884766,adult,4
classic,0.845,0.8078769057029926,0.7919393268230477,0.5871509701580412,0.8612365894974591,0.627372189431016,0.0,0.0,211,106,21,12598.160982131958,22.66812324523925,adult,5
metacog,0.815,0.5978260869565217,0.6100131752305665,0.3971787600668156,0.5978260869565217,0.3806521739130435,0.598035159554147,1.0,3,2,2,170215.60144424438,14.852523803710938,adult,5
classic,0.815,0.7426595143986449,0.740814682497986,0.4816947929889804,0.7980660643704124,0.4911594258060708,0.0,0.0,225,113,21,12995.395421981812,23.329973220825195,adult,6
metacog,0.795,0.5543478260869565,0.5392999606719479,0.292987533074953,0.5543478260869565,0.313695652173913,0.5363583552709889,0.99974301249997,3,2,2,163935.79006195068,9.874105453491213,adult,6
classic,0.8,0.717673630717109,0.717673630717109,0.435347261434218,0.8116883116883117,0.5069553036403824,0.0,0.0,275,138,21,13874.780893325806,21.70085906982422,adult,7
metacog,0.81,0.5869565217391304,0.5932348533504603,0.3734872870971492,0.5869565217391304,0.3639130434782608,0.5833692402180064,0.998682165718022,3,2,2,169544.80385780334,9.629487991333008,adult,7
classic,0.805,0.761994159365874,0.7450230459939198,0.4948128736033296,0.8020442219440969,0.4952781950368167,0.0,0.0,247,124,21,13769.830703735352,26.03912353515625,adult,8
metacog,0.8,0.574468085106383,0.5718261614215371,0.3436110739901573,0.574468085106383,0.3489361702127659,0.5167964231973616,1.0,3,2,2,173104.45737838745,8.236885070800781,adult,8
classic,0.825,0.6718815185648728,0.7003296373988612,0.4485303832338286,0.8089973578083715,0.5486618141097424,0.0,0.0,245,123,21,12886.374235153198,21.865129470825195,adult,9
metacog,0.82,0.6170212765957447,0.6370235934664247,0.4352734993659197,0.6170212765957447,0.4140425531914893,0.5235639139344918,1.0,3,2,2,164124.58562850952,9.82522964477539,adult,9
classic,0.81,0.7699040090344438,0.7499671009343334,0.5059450459494215,0.8033596837944664,0.5084315371271892,0.0,0.0,241,121,21,12655.198335647585,22.08542823791504,adult,10
metacog,0.805,0.5760869565217391,0.5758795062802458,0.3484590995891856,0.5760869565217391,0.3471739130434783,0.6638192919025178,0.9994221785777244,3,2,2,165898.45752716064,10.14399528503418,adult,10
classic,0.77,0.7363071710897797,0.7082699137493658,0.4300419130036369,0.8010304912478825,0.4833662395993156,0.0,0.0,233,117,21,12221.423864364624,22.78447151184082,adult,11
metacog,0.795,0.5543478260869565,0.5392999606719479,0.292987533074953,0.5543478260869565,0.313695652173913,0.5342211025091295,1.0,3,2,2,162081.20203018188,11.419057846069336,adult,11
classic,0.765,0.5729813664596274,0.578683160772713,0.2003757217294762,0.7527526821005083,0.4166356107660455,0.0,0.0,229,115,21,13076.508045196531,25.308847427368164,adult,12
metacog,0.81,0.5869565217391304,0.5932348533504603,0.3734872870971492,0.5869565217391304,0.3639130434782608,0.544086551727854,1.0,3,2,2,161507.5981616974,9.677648544311523,adult,12
classic,0.835,0.778514963297572,0.7722174288179465,0.5450436584216708,0.8372388481084133,0.5562597424321412,0.0,0.0,231,116,21,13067.21568107605,22.811412811279297,adult,13
metacog,0.8,0.5652173913043478,0.5579133510167993,0.3217778938936845,0.5652173913043478,0.3304347826086956,0.5398131515639322,1.0,3,2,2,162715.05403518677,9.977340698242188,adult,13
classic,0.825,0.7796442687747036,0.7650927883486023,0.5333086070073726,0.8409090909090909,0.557884398701482,0.0,0.0,243,122,21,13421.249151229858,23.53692054748535,adult,14
metacog,0.805,0.5760869565217391,0.5758795062802458,0.3484590995891856,0.5760869565217391,0.3471739130434783,0.60667561604184,1.0,3,2,2,163556.87499046326,10.089397430419922,adult,14
classic,0.795,0.7601637492941841,0.735270379338176,0.4801539351020719,0.8354037267080745,0.526541796306669,0.0,0.0,257,129,21,12674.137592315674,22.52507209777832,adult,15
metacog,0.795,0.5543478260869565,0.5392999606719479,0.292987533074953,0.5543478260869565,0.313695652173913,0.5404924214937099,1.0,3,2,2,163871.5341091156,9.705305099487305,adult,15
classic,0.845,0.7926312817617165,0.7860224331320104,0.572668780490686,0.8316629023150762,0.6285731763060955,0.0,0.0,231,116,21,12631.525754928589,31.995058059692383,adult,16
metacog,0.82,0.6086956521739131,0.6262458471760798,0.4197634726815944,0.6086956521739131,0.3973913043478261,0.554383540935585,1.0,3,2,2,162942.65270233154,10.07366180419922,adult,16
